"Backend","PP","Buffer.Size","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-onnx","js","128","Safari","guitar-lstm",0.0072869504247237,7.22584699283016e-05,1296.00000000011,0.00714656396691984,0.007430094621439
"wasm-bypass","wasm","1024","Safari","guitar-lstm",0.000606792729981949,6.01704577038901e-06,1295.99999999949,0.000595102588425024,0.000618712511624934
"js-bypass","wasm","1024","Safari","guitar-lstm",0.000595304887123592,5.90313063451673e-06,1296.00000000011,0.000583836064153004,0.000606999002617899
"js-onnx","wasm","1024","Safari","guitar-lstm",0.00606288858258854,6.01204930442805e-05,1296.00000000011,0.00594608424022864,0.00618198741891169
"wasm-onnx","wasm","1024","Safari","guitar-lstm",0.00553937249128042,5.49292306456202e-05,1296.00000000011,0.005432653927659,0.00564818742473748
"wasm-bypass","js","1024","Safari","guitar-lstm",0.000806667768350238,7.99903598681003e-06,1296.00000000023,0.000791126942075503,0.000822513877214222
"js-bypass","js","1024","Safari","guitar-lstm",0.000742334428244774,7.36109714402267e-06,1296.00000000011,0.00072803301341237,0.000756916778779874
"js-onnx","js","1024","Safari","guitar-lstm",0.00623215716092588,6.17989851108792e-05,1296.00000000011,0.00611209178140431,0.00635458109393049
"wasm-onnx","js","1024","Safari","guitar-lstm",0.00575719134895957,5.70891544079704e-05,1296.00000000011,0.00564627640467269,0.00587028509640528
"wasm-bypass","wasm","8192","Safari","guitar-lstm",0.000516086053223627,5.11758505049717e-06,1295.99999999949,0.000506143417592646,0.000526224001091919
"js-bypass","wasm","8192","Safari","guitar-lstm",0.000522045129806758,5.17667612851755e-06,1296.00000000011,0.000511987689819425,0.00053230013723782
"js-onnx","wasm","8192","Safari","guitar-lstm",0.00575803562151286,5.70975263385238e-05,1296.00000000011,0.0056471044119262,0.00587114595377244
"wasm-onnx","wasm","8192","Safari","guitar-lstm",0.00530064836458051,5.25620071673625e-05,1296.00000000011,0.00519852893126551,0.00540477382283034
"wasm-bypass","js","8192","Safari","guitar-lstm",0.000673031426227976,6.67387840431754e-06,1296.00000000011,0.000660065165664675,0.000686252394843968
"js-bypass","js","8192","Safari","guitar-lstm",0.000754187390576843,7.47863285818471e-06,1295.99999999998,0.000739657622963193,0.000769002579634621
"js-onnx","js","8192","Safari","guitar-lstm",0.00598741900443394,5.93721256305157e-05,1296.00000000011,0.00587206861827403,0.00610503532317268
"wasm-onnx","js","8192","Safari","guitar-lstm",0.00547147400233001,5.42559392636246e-05,1296.00000000011,0.00536606353438626,0.00557895514399592
"wasm-bypass","wasm","128","Chrome","steerable-nafx",0.000834282092329803,8.2728636763861e-06,1296.00000000147,0.000818209263378755,0.000850670654482677
"js-bypass","wasm","128","Chrome","steerable-nafx",0.000881714036185906,8.74320579332333e-06,1295.99999999986,0.000864727408979535,0.000899034347164588
